,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
0,1930,13-Jul-30, 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico, ,H,France,5
1,1930,13-Jul-30, 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium, ,H,USA,3
2,1930,14-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil, ,H,Yugoslavia,3
3,1930,14-Jul-30, 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru, ,H,Romania,4
4,1930,15-Jul-30, 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France, ,H,Argentina,1
5,1930,16-Jul-30, 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico, ,H,Chile,3
6,1930,17-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia, ,H,Yugoslavia,4
7,1930,17-Jul-30, 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay, ,H,USA,3
8,1930,18-Jul-30, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru, ,H,Uruguay,1
9,1930,19-Jul-30, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France, ,H,Chile,1
10,1930,19-Jul-30, 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico, ,H,Argentina,9
11,1930,20-Jul-30, 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia, ,H,Brazil,4
12,1930,20-Jul-30, 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium, ,H,Paraguay,1
13,1930,21-Jul-30, 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania, ,H,Uruguay,4
14,1930,22-Jul-30, 14:45 ,Group 1,Estadio Centenario,Montevideo ,Argentina,3,1,Chile, ,H,Argentina,4
15,1930,26-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Argentina,6,1,USA, ,H,Argentina,7
16,1930,27-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,6,1,Yugoslavia, ,H,Uruguay,7
17,1930,30-Jul-30, 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,4,2,Argentina, ,H,Uruguay,6
18,1934,27-May-34, 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Austria,3,2,France,Austria win after extra time ,H,Austria,5
19,1934,27-May-34, 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Hungary,4,2,Egypt, ,H,Hungary,6
20,1934,27-May-34, 16:30 ,Preliminary round,San Siro,Milan ,Switzerland,3,2,Netherlands, ,H,Switzerland,5
21,1934,27-May-34, 16:30 ,Preliminary round,Littorale,Bologna ,Sweden,3,2,Argentina, ,H,Sweden,5
22,1934,27-May-34, 16:30 ,Preliminary round,Giovanni Berta,Florence ,Germany,5,2,Belgium, ,H,Germany,7
23,1934,27-May-34, 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Spain,3,1,Brazil, ,H,Spain,4
24,1934,27-May-34, 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,7,1,USA, ,H,Italy,8
25,1934,27-May-34, 16:30 ,Preliminary round,Littorio,Trieste ,Czechoslovakia,2,1,Romania, ,H,Czechoslovakia,3
26,1934,31-May-34, 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Czechoslovakia,3,2,Switzerland, ,H,Czechoslovakia,5
27,1934,31-May-34, 16:30 ,Quarter-finals,San Siro,Milan ,Germany,2,1,Sweden, ,H,Germany,3
28,1934,31-May-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,1,Spain, ,D,Draw,2
29,1934,31-May-34, 16:30 ,Quarter-finals,Littorale,Bologna ,Austria,2,1,Hungary, ,H,Austria,3
30,1934,01-Jun-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,0,Spain, ,H,Italy,1
31,1934,03-Jun-34, 16:30 ,Semi-finals,San Siro,Milan ,Italy,1,0,Austria, ,H,Italy,1
32,1934,03-Jun-34, 16:30 ,Semi-finals,Nazionale PNF,Rome ,Czechoslovakia,3,1,Germany, ,H,Czechoslovakia,4
33,1934,07-Jun-34, 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Germany,3,2,Austria, ,H,Germany,5
34,1934,10-Jun-34, 17:30 ,Final,Nazionale PNF,Rome ,Italy,2,1,Czechoslovakia,Italy win after extra time ,H,Italy,3
35,1938,04-Jun-38, 17:00 ,First round,Parc des Princes,Paris ,Switzerland,1,1,Germany, ,D,Draw,2
36,1938,05-Jun-38, 17:00 ,First round,Velodrome Municipale,Reims ,Hungary,6,0,Dutch East Indies, ,H,Hungary,6
37,1938,05-Jun-38, 17:00 ,First round,Stade Olympique,Colombes ,France,3,1,Belgium, ,H,France,4
38,1938,05-Jun-38, 17:00 ,First round,Stade Municipal,Toulouse ,Cuba,3,3,Romania, ,D,Draw,6
39,1938,05-Jun-38, 17:00 ,First round,Stade V�lodrome,Marseilles ,Italy,2,1,Norway,Italy win after extra time ,H,Italy,3
40,1938,05-Jun-38, 17:30 ,First round,Stade de la Meinau,Strasbourg ,Brazil,6,5,Poland,Brazil win after extra time ,H,Brazil,11
41,1938,05-Jun-38, 18:30 ,First round,Cavee Verte,Le Havre ,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,H,Czechoslovakia,3
42,1938,09-Jun-38, 18:00 ,First round,Stade Municipal,Toulouse ,Cuba,2,1,Romania, ,H,Cuba,3
43,1938,09-Jun-38, 18:00 ,First round,Parc des Princes,Paris ,Switzerland,4,2,Germany, ,H,Switzerland,6
44,1938,12-Jun-38, 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,1,1,Czechoslovakia, ,D,Draw,2
45,1938,12-Jun-38, 17:00 ,Quarter-finals,Victor Boucquey,Lille ,Hungary,2,0,Switzerland, ,H,Hungary,2
46,1938,12-Jun-38, 17:00 ,Quarter-finals,Fort Carree,Antibes ,Sweden,8,0,Cuba, ,H,Sweden,8
47,1938,12-Jun-38, 17:00 ,Quarter-finals,Stade Olympique,Colombes ,Italy,3,1,France, ,H,Italy,4
48,1938,14-Jun-38, 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2,1,Czechoslovakia, ,H,Brazil,3
49,1938,16-Jun-38, 18:00 ,Semi-finals,Parc des Princes,Paris ,Hungary,5,1,Sweden, ,H,Hungary,6
50,1938,16-Jun-38, 18:00 ,Semi-finals,Stade V�lodrome,Marseilles ,Italy,2,1,Brazil, ,H,Italy,3
51,1938,19-Jun-38, 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,4,2,Sweden, ,H,Brazil,6
52,1938,19-Jun-38, 17:00 ,Final,Stade Olympique,Colombes ,Italy,4,2,Hungary, ,H,Italy,6
53,1950,24-Jun-50, 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,4,0,Mexico, ,H,Brazil,4
54,1950,25-Jun-50, 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,England,2,0,Chile, ,H,England,2
55,1950,25-Jun-50, 15:00 ,Group 2,Durival de Brito,Curitiba ,Spain,3,1,USA, ,H,Spain,4
56,1950,25-Jun-50, 15:00 ,Group 3,Pacaembu,Sao Paulo ,Sweden,3,2,Italy, ,H,Sweden,5
57,1950,25-Jun-50, 15:00 ,Group 1,Independencia,Belo Horizonte ,Yugoslavia,3,0,Switzerland, ,H,Yugoslavia,3
58,1950,28-Jun-50, 15:00 ,Group 1,Pacaembu,Sao Paulo ,Brazil,2,2,Switzerland, ,D,Draw,4
59,1950,28-Jun-50, 15:00 ,Group 1,Eucaliptos,Porto Alegre ,Yugoslavia,4,1,Mexico, ,H,Yugoslavia,5
60,1950,29-Jun-50, 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,2,0,Chile, ,H,Spain,2
61,1950,29-Jun-50, 15:30 ,Group 3,Durival de Brito,Curitiba ,Sweden,2,2,Paraguay, ,D,Draw,4
62,1950,29-Jun-50, 15:00 ,Group 2,Independencia,Belo Horizonte ,USA,1,0,England, ,H,USA,1
63,1950,01-Jul-50, 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,2,0,Yugoslavia, ,H,Brazil,2
64,1950,02-Jul-50, 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,1,0,England, ,H,Spain,1
65,1950,02-Jul-50, 15:00 ,Group 3,Pacaembu,Sao Paulo ,Italy,2,0,Paraguay, ,H,Italy,2
66,1950,02-Jul-50, 15:00 ,Group 4,Independencia,Belo Horizonte ,Uruguay,8,0,Bolivia, ,H,Uruguay,8
67,1950,02-Jul-50, 15:40 ,Group 1,Eucaliptos,Porto Alegre ,Switzerland,2,1,Mexico, ,H,Switzerland,3
68,1950,02-Jul-50, 15:00 ,Group 2,Ilha do Retiro,Recife ,Chile,5,2,USA, ,H,Chile,7
69,1950,09-Jul-50, 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,2,2,Spain, ,D,Draw,4
70,1950,09-Jul-50, 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,7,1,Sweden, ,H,Brazil,8
71,1950,13-Jul-50, 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,6,1,Spain, ,H,Brazil,7
72,1950,13-Jul-50, 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,3,2,Sweden, ,H,Uruguay,5
73,1950,16-Jul-50, 15:00 ,Group 6,Pacaembu,Sao Paulo ,Sweden,3,1,Spain, ,H,Sweden,4
74,1950,16-Jul-50, 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Uruguay,2,1,Brazil, ,H,Uruguay,3
75,1954,16-Jun-54, 18:00 ,Group 3,Wankdorf Stadium,Berne ,Uruguay,2,0,Czechoslovakia, ,H,Uruguay,2
76,1954,16-Jun-54, 18:00 ,Group 3,Hardturm,Zurich ,Austria,1,0,Scotland, ,H,Austria,1
77,1954,16-Jun-54, 18:00 ,Group 1,Charmilles,Geneva ,Brazil,5,0,Mexico, ,H,Brazil,5
78,1954,16-Jun-54, 18:00 ,Group 1,La Pontaise,Lausanne ,Yugoslavia,1,0,France, ,H,Yugoslavia,1
79,1954,17-Jun-54, 18:00 ,Group 2,Wankdorf Stadium,Berne ,Germany FR,4,1,Turkey, ,H,Germany FR,5
80,1954,17-Jun-54, 18:00 ,Group 2,Hardturm,Zurich ,Hungary,9,0,Korea Republic, ,H,Hungary,9
81,1954,17-Jun-54, 18:10 ,Group 4,St. Jakob,Basel ,England,4,4,Belgium, ,D,Draw,8
82,1954,17-Jun-54, 17:50 ,Group 4,La Pontaise,Lausanne ,Switzerland,2,1,Italy, ,H,Switzerland,3
83,1954,19-Jun-54, 16:50 ,Group 3,St. Jakob,Basel ,Uruguay,7,0,Scotland, ,H,Uruguay,7
84,1954,19-Jun-54, 17:00 ,Group 3,Hardturm,Zurich ,Austria,5,0,Czechoslovakia, ,H,Austria,5
85,1954,19-Jun-54, 17:10 ,Group 1,Charmilles,Geneva ,France,3,2,Mexico, ,H,France,5
86,1954,19-Jun-54, 17:00 ,Group 1,La Pontaise,Lausanne ,Brazil,1,1,Yugoslavia, ,D,Draw,2
87,1954,20-Jun-54, 16:50 ,Group 2,St. Jakob,Basel ,Hungary,8,3,Germany FR, ,H,Hungary,11
88,1954,20-Jun-54, 17:00 ,Group 2,Charmilles,Geneva ,Turkey,7,0,Korea Republic, ,H,Turkey,7
89,1954,20-Jun-54, 17:10 ,Group 4,Wankdorf Stadium,Berne ,England,2,0,Switzerland, ,H,England,2
90,1954,20-Jun-54, 17:00 ,Group 4,Comunale di Cornaredo,Lugano ,Italy,4,1,Belgium, ,H,Italy,5
91,1954,23-Jun-54, 18:00 ,Group 2,Hardturm,Zurich ,Germany FR,7,2,Turkey, ,H,Germany FR,9
92,1954,23-Jun-54, 18:00 ,Group 4,St. Jakob,Basel ,Switzerland,4,1,Italy, ,H,Switzerland,5
93,1954,26-Jun-54, 17:00 ,Quarter-finals,St. Jakob,Basel ,Uruguay,4,2,England, ,H,Uruguay,6
94,1954,26-Jun-54, 17:00 ,Quarter-finals,La Pontaise,Lausanne ,Austria,7,5,Switzerland, ,H,Austria,12
95,1954,27-Jun-54, 17:00 ,Quarter-finals,Charmilles,Geneva ,Germany FR,2,0,Yugoslavia, ,H,Germany FR,2
96,1954,27-Jun-54, 17:00 ,Quarter-finals,Wankdorf Stadium,Berne ,Hungary,4,2,Brazil, ,H,Hungary,6
97,1954,30-Jun-54, 18:00 ,Semi-finals,St. Jakob,Basel ,Germany FR,6,1,Austria, ,H,Germany FR,7
98,1954,30-Jun-54, 18:00 ,Semi-finals,La Pontaise,Lausanne ,Hungary,4,2,Uruguay,Hungary win after extra time ,H,Hungary,6
99,1954,03-Jul-54, 17:00 ,Match for third place,Hardturm,Zurich ,Austria,3,1,Uruguay, ,H,Austria,4
100,1954,04-Jul-54, 17:00 ,Final,Wankdorf Stadium,Berne ,Germany FR,3,2,Hungary, ,H,Germany FR,5
101,1958,08-Jun-58, 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,3,0,Mexico, ,H,Sweden,3
102,1958,08-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,2,2,England, ,D,Draw,4
103,1958,08-Jun-58, 19:00 ,Group 1,Malmo Stadion,Malm� ,Argentina,1,3,Germany FR, ,A,Germany FR,4
104,1958,08-Jun-58, 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,1,1,Wales, ,D,Draw,2
105,1958,08-Jun-58, 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,France,7,3,Paraguay, ,H,France,10
106,1958,08-Jun-58, 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,1,1,Scotland, ,D,Draw,2
107,1958,08-Jun-58, 19:00 ,Group 4,Rimnersvallen,Udevalla ,Brazil,3,0,Austria, ,H,Brazil,3
108,1958,08-Jun-58, 19:00 ,Group 1,Orjans Vall,Halmstad ,Northern Ireland,1,0,Czechoslovakia, ,H,Northern Ireland,1
109,1958,11-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,0,0,England, ,D,Draw,0
110,1958,11-Jun-58, 19:00 ,Group 3,Rasunda Stadium,Solna ,Mexico,1,1,Wales, ,D,Draw,2
111,1958,11-Jun-58, 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,Paraguay,3,2,Scotland, ,H,Paraguay,5
112,1958,11-Jun-58, 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,3,2,France, ,H,Yugoslavia,5
113,1958,11-Jun-58, 19:00 ,Group 4,Ryavallen,Boras ,Soviet Union,2,0,Austria, ,H,Soviet Union,2
114,1958,11-Jun-58, 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Germany FR,2,2,Czechoslovakia, ,D,Draw,4
115,1958,11-Jun-58, 19:00 ,Group 1,Orjans Vall,Halmstad ,Argentina,3,1,Northern Ireland, ,H,Argentina,4
116,1958,12-Jun-58, 19:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,2,1,Hungary, ,H,Sweden,3
117,1958,15-Jun-58, 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,0,0,Wales, ,D,Draw,0
118,1958,15-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,2,0,Soviet Union, ,H,Brazil,2
119,1958,15-Jun-58, 19:00 ,Group 1,Malmo Stadion,Malm� ,Germany FR,2,2,Northern Ireland, ,D,Draw,4
120,1958,15-Jun-58, 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,4,0,Mexico, ,H,Hungary,4
121,1958,15-Jun-58, 19:00 ,Group 2,Tunavallen,Eskilstuna ,Paraguay,3,3,Yugoslavia, ,D,Draw,6
122,1958,15-Jun-58, 19:00 ,Group 2,Eyravallen,Orebro ,France,2,1,Scotland, ,H,France,3
123,1958,15-Jun-58, 19:00 ,Group 4,Ryavallen,Boras ,England,2,2,Austria, ,D,Draw,4
124,1958,15-Jun-58, 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Czechoslovakia,6,1,Argentina, ,H,Czechoslovakia,7
125,1958,17-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,1,0,England, ,H,Soviet Union,1
126,1958,17-Jun-58, 19:00 ,Group 1,Malmo Stadion,Malm� ,Northern Ireland,2,1,Czechoslovakia,Northern Ireland win after extra time ,H,Northern Ireland,3
127,1958,17-Jun-58, 19:00 ,Group 3,Rasunda Stadium,Solna ,Wales,2,1,Hungary, ,H,Wales,3
128,1958,19-Jun-58, 19:00 ,Quarter-finals,Nya Ullevi,Gothenburg ,Brazil,1,0,Wales, ,H,Brazil,1
129,1958,19-Jun-58, 19:00 ,Quarter-finals,Malmo Stadion,Malm� ,Germany FR,1,0,Yugoslavia, ,H,Germany FR,1
130,1958,19-Jun-58, 19:00 ,Quarter-finals,Rasunda Stadium,Solna ,Sweden,2,0,Soviet Union, ,H,Sweden,2
131,1958,19-Jun-58, 19:00 ,Quarter-finals,Idrottsparken,Norrk�Ping ,France,4,0,Northern Ireland, ,H,France,4
132,1958,24-Jun-58, 19:00 ,Semi-finals,Nya Ullevi,Gothenburg ,Sweden,3,1,Germany FR, ,H,Sweden,4
133,1958,24-Jun-58, 19:00 ,Semi-finals,Rasunda Stadium,Solna ,Brazil,5,2,France, ,H,Brazil,7
134,1958,28-Jun-58, 17:00 ,Match for third place,Nya Ullevi,Gothenburg ,France,6,3,Germany FR, ,H,France,9
135,1958,29-Jun-58, 15:00 ,Final,Rasunda Stadium,Solna ,Brazil,5,2,Sweden, ,H,Brazil,7
136,1962,30-May-62, 15:00 ,Group 1,Carlos Dittborn,Arica ,Uruguay,2,1,Colombia, ,H,Uruguay,3
137,1962,30-May-62, 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2,0,Mexico, ,H,Brazil,2
138,1962,30-May-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Argentina,1,0,Bulgaria, ,H,Argentina,1
139,1962,30-May-62, 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,3,1,Switzerland, ,H,Chile,4
140,1962,31-May-62, 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2,0,Yugoslavia, ,H,Soviet Union,2
141,1962,31-May-62, 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,1,0,Spain, ,H,Czechoslovakia,1
142,1962,31-May-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,2,1,England, ,H,Hungary,3
143,1962,31-May-62, 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,0,0,Italy, ,D,Draw,0
144,1962,02-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,3,1,Uruguay, ,H,Yugoslavia,4
145,1962,02-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,0,0,Czechoslovakia, ,D,Draw,0
146,1962,02-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,3,1,Argentina, ,H,England,4
147,1962,02-Jun-62, 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,2,0,Italy, ,H,Chile,2
148,1962,03-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,4,4,Colombia, ,D,Draw,8
149,1962,03-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Spain,1,0,Mexico, ,H,Spain,1
150,1962,03-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,6,1,Bulgaria, ,H,Hungary,7
151,1962,03-Jun-62, 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2,1,Switzerland, ,H,Germany FR,3
152,1962,06-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2,1,Uruguay, ,H,Soviet Union,3
153,1962,06-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2,1,Spain, ,H,Brazil,3
154,1962,06-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,0,0,Argentina, ,D,Draw,0
155,1962,06-Jun-62, 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2,0,Chile, ,H,Germany FR,2
156,1962,07-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,5,0,Colombia, ,H,Yugoslavia,5
157,1962,07-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Mexico,3,1,Czechoslovakia, ,H,Mexico,4
158,1962,07-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,0,0,Bulgaria, ,D,Draw,0
159,1962,07-Jun-62, 15:00 ,Group 2,Nacional,Santiago De Chile ,Italy,3,0,Switzerland, ,H,Italy,3
160,1962,10-Jun-62, 14:30 ,Quarter-finals,Carlos Dittborn,Arica ,Chile,2,1,Soviet Union, ,H,Chile,3
161,1962,10-Jun-62, 14:30 ,Quarter-finals,Estadio Sausalito,Vina Del Mar ,Brazil,3,1,England, ,H,Brazil,4
162,1962,10-Jun-62, 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Rancagua ,Czechoslovakia,1,0,Hungary, ,H,Czechoslovakia,1
163,1962,10-Jun-62, 14:30 ,Quarter-finals,Nacional,Santiago De Chile ,Yugoslavia,1,0,Germany FR, ,H,Yugoslavia,1
164,1962,13-Jun-62, 14:30 ,Semi-finals,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,3,1,Yugoslavia, ,H,Czechoslovakia,4
165,1962,13-Jun-62, 14:30 ,Semi-finals,Nacional,Santiago De Chile ,Brazil,4,2,Chile, ,H,Brazil,6
166,1962,16-Jun-62, 14:30 ,Match for third place,Nacional,Santiago De Chile ,Chile,1,0,Yugoslavia, ,H,Chile,1
167,1962,17-Jun-62, 14:30 ,Final,Nacional,Santiago De Chile ,Brazil,3,1,Czechoslovakia, ,H,Brazil,4
168,1966,11-Jul-66, 19:30 ,Group 1,Wembley Stadium,London ,England,0,0,Uruguay, ,D,Draw,0
169,1966,12-Jul-66, 19:30 ,Group 2,Hillsborough,Sheffield ,Germany FR,5,0,Switzerland, ,H,Germany FR,5
170,1966,12-Jul-66, 19:30 ,Group 3,Goodison Park,Liverpool ,Brazil,2,0,Bulgaria, ,H,Brazil,2
171,1966,12-Jul-66, 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Soviet Union,3,0,Korea DPR, ,H,Soviet Union,3
172,1966,13-Jul-66, 19:30 ,Group 1,Wembley Stadium,London ,France,1,1,Mexico, ,D,Draw,2
173,1966,13-Jul-66, 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,1,Hungary, ,H,Portugal,4
174,1966,13-Jul-66, 19:30 ,Group 2,Villa Park,Birmingham ,Argentina,2,1,Spain, ,H,Argentina,3
175,1966,13-Jul-66, 19:30 ,Group 4,Roker Park Ground,Sunderland ,Italy,2,0,Chile, ,H,Italy,2
176,1966,15-Jul-66, 19:30 ,Group 1,White City,London ,Uruguay,2,1,France, ,H,Uruguay,3
177,1966,15-Jul-66, 19:30 ,Group 2,Hillsborough,Sheffield ,Spain,2,1,Switzerland, ,H,Spain,3
178,1966,15-Jul-66, 19:30 ,Group 3,Goodison Park,Liverpool ,Hungary,3,1,Brazil, ,H,Hungary,4
179,1966,15-Jul-66, 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1,1,Chile, ,D,Draw,2
180,1966,16-Jul-66, 15:00 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,0,Bulgaria, ,H,Portugal,3
181,1966,16-Jul-66, 15:00 ,Group 2,Villa Park,Birmingham ,Germany FR,0,0,Argentina, ,D,Draw,0
182,1966,16-Jul-66, 15:00 ,Group 4,Roker Park Ground,Sunderland ,Soviet Union,1,0,Italy, ,H,Soviet Union,1
183,1966,16-Jul-66, 19:30 ,Group 1,Wembley Stadium,London ,England,2,0,Mexico, ,H,England,2
184,1966,19-Jul-66, 16:30 ,Group 1,Wembley Stadium,London ,Uruguay,0,0,Mexico, ,D,Draw,0
185,1966,19-Jul-66, 19:30 ,Group 2,Hillsborough,Sheffield ,Argentina,2,0,Switzerland, ,H,Argentina,2
186,1966,19-Jul-66, 19:30 ,Group 3,Goodison Park,Liverpool ,Portugal,3,1,Brazil, ,H,Portugal,4
187,1966,19-Jul-66, 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1,0,Italy, ,H,Korea DPR,1
188,1966,20-Jul-66, 19:30 ,Group 1,Wembley Stadium,London ,England,2,0,France, ,H,England,2
189,1966,20-Jul-66, 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Hungary,3,1,Bulgaria, ,H,Hungary,4
190,1966,20-Jul-66, 19:30 ,Group 2,Villa Park,Birmingham ,Germany FR,2,1,Spain, ,H,Germany FR,3
191,1966,20-Jul-66, 19:30 ,Group 4,Roker Park Ground,Sunderland ,Soviet Union,2,1,Chile, ,H,Soviet Union,3
192,1966,23-Jul-66, 15:00 ,Quarter-finals,Wembley Stadium,London ,England,1,0,Argentina, ,H,England,1
193,1966,23-Jul-66, 15:00 ,Quarter-finals,Hillsborough,Sheffield ,Germany FR,4,0,Uruguay, ,H,Germany FR,4
194,1966,23-Jul-66, 15:00 ,Quarter-finals,Roker Park Ground,Sunderland ,Soviet Union,2,1,Hungary, ,H,Soviet Union,3
195,1966,23-Jul-66, 15:00 ,Quarter-finals,Goodison Park,Liverpool ,Portugal,5,3,Korea DPR, ,H,Portugal,8
196,1966,25-Jul-66, 19:30 ,Semi-finals,Goodison Park,Liverpool ,Germany FR,2,1,Soviet Union, ,H,Germany FR,3
197,1966,26-Jul-66, 19:30 ,Semi-finals,Wembley Stadium,London ,England,2,1,Portugal, ,H,England,3
198,1966,28-Jul-66, 19:30 ,Match for third place,Wembley Stadium,London ,Portugal,2,1,Soviet Union, ,H,Portugal,3
199,1966,30-Jul-66, 15:00 ,Final,Wembley Stadium,London ,England,4,2,Germany FR,England win after extra time ,H,England,6
200,1970,31-May-70, 12:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,0,0,Soviet Union, ,D,Draw,0
201,1970,02-Jun-70, 16:00 ,Group 2,Cuauhtemoc,Puebla ,Uruguay,2,0,Israel, ,H,Uruguay,2
202,1970,02-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Peru,3,2,Bulgaria, ,H,Peru,5
203,1970,02-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara ,England,1,0,Romania, ,H,England,1
204,1970,03-Jun-70, 16:00 ,Group 2,Luis Dosal,Toluca ,Italy,1,0,Sweden, ,H,Italy,1
205,1970,03-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany FR,2,1,Morocco, ,H,Germany FR,3
206,1970,03-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara ,Brazil,4,1,Czechoslovakia, ,H,Brazil,5
207,1970,03-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City ,Belgium,3,0,El Salvador, ,H,Belgium,3
